Raw,Raw_Translated,Clean,Clean_Translated,Tag,,,,,
its been 2 weeks since the election and my family hasnt removed this LeniKiko tarp from our Elyu house Tinanong ko si mama bat di pa nila inaalis sabi niya jan lang muna yan baka sakaling manalo pa si Leni,its been 2 weeks since the election and my family hasnt removed this lenikiko tarp from our elyu house i asked mom bat they had not removed she said jan just maybe leni to win,its been 2 weeks since the election and my family hasnt removed this LeniKiko tarp from our Elyu house Tinanong ko si mama bat di pa nila inaalis sabi niya jan lang muna yan baka sakaling manalo pa si Leni,its been 2 weeks since the election and my family hasnt removed this lenikiko tarp from our elyu house i asked mom bat they had not removed she said jan just maybe leni to win,0,,,,,
Its okay to be sad your feelings are valid,Its okay to be sad your feelings are valid,Its okay to be sad your feelings are valid,Its okay to be sad your feelings are valid,0,,,,,
Its okay to be sad your feelings are valid,Its okay to be sad your feelings are valid,Its okay to be sad your feelings are valid,Its okay to be sad your feelings are valid,0,,,,,
Its the smallest things,Its the smallest things,Its the smallest things,Its the smallest things,0,,,,,
iyak malala,cry malala,iyak malala,cry malala,0,,,,,
Iyot lang,Iyot lang,Iyot lang,Iyot lang,1,,,,,
iyot penis,Iyot Penis,iyot penis,Iyot Penis,1,,,,,
jerby Super cute,jerby Super cute,jerby. Super cute,jerby. Super cute,0,,,,,
jisoo pablonde ka na rin HAHAHAAHAHAHAHh,jisoo pablonde ka na rin hahahaahahahahh,jisoo pablonde ka na rin HAHAHAAHAHAHAHh,jisoo pablonde ka na rin hahahaahahahahh,0,,,,,
joaqin Nako sinabi mo nasa halang ka na ako susundan ka nyan dyan,Joaqin I said you were in the halang that I will follow you there,joaqin Nako sinabi mo nasa halang ka na ako susundan ka nyan dyan,Joaqin I said you were in the halang that I will follow you there,0,,,,,
Jolina lakasan mo pa please We need power from your hits to shift the momentum tonour side Great adjustment Gagate blocking the the downtheline and Mars blocking the crosscourt UAAPSeason84,Jolina lakasan mo pa please We need power from your hits to shift the momentum tonour side Great adjustment Gagate blocking the the downtheline and Mars blocking the crosscourt UAAPSeason84,Jolina lakasan mo pa please We need power from your hits to shift the momentum tonour side Great adjustment Gagate blocking the the downtheline and Mars blocking the crosscourt UAAPSeason84,Jolina lakasan mo pa please We need power from your hits to shift the momentum tonour side Great adjustment Gagate blocking the the downtheline and Mars blocking the crosscourt UAAPSeason84,0,,,,,
Judge all you want D lang nanalo Lenlen nyo binabalot ka na ng hatred 6 years yan mare Goodluck Spreading love Hahaha,Judge all you want d just win lenlen you wrapped in hatred 6 years yan mare goodluck spreading love hahaha,Judge all you want. hindi lang nanalo Lenlen ninyo binabalot ka na ng hatred. 6 years yan mare. Goodluck Spreading love. Hahaha,Judge all you want. You don't just win Lenlen you are wrapped up in hatred. 6 years old. Goodluck spreading love. Hahaha,0,,,,,
Just posted a photo Las Casas Filipinas de Acuzar,Just posted the Philippines of Acuzar,Just posted a photo Las Casas Filipinas de Acuzar,Just posted the Philippines of Acuzar,0,,,,,
Just posted a photo Metro Manila,Just posted a photo Metro Manila,Just posted a photo Metro Manila,Just posted a photo Metro Manila,0,,,,,
Just wow I never thought youd be happy that I deserve that No one deserves it Gago ka,Just wow I never thought youd be happy that I deserve that No one deserves it Gago ka,"Just wow, I never thought you''d be happy that I deserve that. No one deserves it. Gago ka","Just wow, I never thought you''d be happy that I deserve that. No one deserves it. Gago ka",1,,,,,
Jwu,Jwu,Jwu,Jwu,0,,,,,
Kaarawan po bukas ng Mayor Pogi namin at ang nagiisang TIYAK sa isang libong duda ni VP Batiin naman natin mga Kakampink ang nagiisang IKAW ni Mama Leni Happy Birthday Mayor Pogi You are deeply missed Padaba mi ica,Birthday tomorrow of our Mayor Pogi and the only one of the thousands of VP's doubts we greet the camping the only you Mama Leni Happy Birthday Mayor Pogi you are deeply missed Padaba mi ica,Kaarawan po bukas ng Mayor Pogi namin at ang nagiisang TIYAK sa isang libong duda ni VP Batiin naman natin mga Kakampink ang nagiisang IKAW ni Mama Leni Happy Birthday Mayor Pogi You are deeply missed,Birthday of our Mayor Pogi and the only one of the thousands of VP's thousands of doubts Let's greet your camping the only Mama Leni Happy Birthday Mayor Pogi you are deeply missed,0,,,,,
Kabahagi ako ng mga numerong ito,I share these numbers,Kabahagi ako ng mga numerong ito.,I share these numbers.,0,,,,,
Kahit may lagnat ako naliligo ako ulol,Even though I have a fever I bathe me crazy,Kahit may lagnat ako naliligo ako ulol,Even though I have a fever I bathe me crazy,1,,,,,
Kahiya naman mag reklamo ng buhay ko sa inyo,It's a shame to complain of my life to you,Kahiya naman mag reklamo ng buhay ko sa inyo,It's a shame to complain of my life to you,0,,,,,
Kakabasa ko lang And yes pakyu mga cheaters ulol,I just read and yes pakyu cheaters crazy,Kakabasa ko lang And yes pakyu mga cheaters ulol,I just read and yes pakyu cheaters crazy,1,,,,,
Kakabasa ko lang And yes pakyu mga cheaters ulol,I just read and yes pakyu cheaters crazy,"Kakabasa ko lang and yes, pakyu mga cheaters ulol","I just read and yes, pakyu cheaters crazy",1,,,,,
kakainis na pati ako kailangan mag adjust hello may pasok ako ano na,It's annoying as well as I need to adjust hello I have to go to work,kakainis na pati ako kailangan mag adjust hello may pasok ako ano na,It's annoying as well as I need to adjust hello I have to go to work,0,,,,,
kala mo susuyuin kita ulol matulog kanang may sama ng loob saken,If you make me cry I go to sleep right with resentment,kala mo susuyuin kita ulol matulog kanang may sama ng loob saken,If you make me cry I go to sleep right with resentment,1,,,,,
Kamuka ko ung alalay na demonyo ni tamayo sa demon slayer sa gupit ko,I love Tamayo's demon demon to demon slayer in my haircut,Kamuka ko ung alalay na demonyo ni tamayo sa demon slayer sa gupit ko,I love Tamayo's demon demon to demon slayer in my haircut,1,,,,,
kantot po,Kantot po,kantot po,Kantot po,1,,,,,
kanyakanya muna talaga byers mga hindot na tanga,It is really bad byers byers that are fools,kanyakanya muna talaga byers mga hindot na tanga,It is really bad byers byers that are fools,1,,,,,
KAPAL NG MUKHA MAG INARTE KALA MO HINDI UMUUTANG SAKEN HAHAHAHA DUHULOL GAGO KA,Thick of faces will make you don't owe a sake hahahaha Duhulol,KAPAL NG MUKHA MAG INARTE KALA MO HINDI UMUUTANG SAKEN HAHAHAHA DUHULOL GAGO KA,Thick of faces will make you don't owe a sake hahahaha Duhulol,1,,,,,
Kapelo siya man makabasulen,He is still a cope,Kapelo siya man makabasulen,He is still a cope,0,,,,,
Kapoy,Exhausted,Kapoy,Exhausted,0,,,,,
Kaya ayokong gumamit ng laptop kasi sobrang bilis napapagod ng mga mata ko,So I don't want to use a laptop because my eyes are so fast,Kaya ayokong gumamit ng laptop kasi sobrang bilis napapagod ng mga mata ko,So I don't want to use a laptop because my eyes are so fast,0,,,,,
Kaya mo yan Ikaw pa ba,So are you still that,Kaya mo yan. Ikaw pa ba,You can do it. Are you still,0,,,,,
Kaya pala iba yung init kanina naglabasan pala yung mga demonyo mula sa imperyno,So the heat was different before the demons came out of Imperry,Kaya pala iba yung init kanina naglabasan pala yung mga demonyo mula sa imperyno,So the heat was different before the demons came out of Imperry,1,,,,,
kayo lang iniintay,You just wait,kayo lang iniintay,You just wait,0,,,,,
Kayod lang makukuha din natin. Yung sasakyan,We can only get it too. The vehicle,Kayod lang makukuha din natin. Yung sasakyan,We can only get it too. The vehicle,0,,,,,
kevin Iba din haha Meron din ako nyan lol,kevin other too haha ​​i have nyan too lol,kevin Iba din haha Meron din ako nyan lol,kevin other too haha ​​i have nyan too lol,0,,,,,
Kimchi riceegg and Pork bulgogidinner,Kimchi riceegg and Pork bulgogidinner,Kimchi riceegg and Pork bulgogidinner,Kimchi riceegg and Pork bulgogidinner,0,,,,,
Kingina,Kingina,Kingina,Kingina,1,,,,,
kulang kalang sa kantot,lacking,kulang ka lang sa seks,You just lack sex,1,,,,,
kulit m hiro tangina pinahabol pa q sa buong village,Kulit m hiro tangina chased yet q across the village,"kulit mo hiro, tangina, pinahabol pa ko sa buong village","Skin Hiro, Tangina, I still chased the whole village",1,,,,,
Kumalma HAHAHAHHAHAHAHA,Calm hahahahhahahaha,Kumalma HAHAHAHHAHAHAHA,Calm hahahahhahahaha,0,,,,,
"Kung pagod ka na maging ikaw, try mo maging tayo","If you are tired of being you, try to be us","Kung pagod ka na maging ikaw, try mo maging tayo","If you are tired of being you, try to be us",0,,,,,
Kung sino ka mang letche ka wala akong pake sayo ulolAga aga mong tumatawag pag sinasagot dika nag sasalita ulol Untug mo ulo mo sa pader,Whoever you are you are I do not use you to call me early in the morning when you answer when you speak ulol until you head to the wall,Kung sino ka mang letche ka wala akong pake sayo ulolAga aga mong tumatawag pag sinasagot dika nag sasalita ulol Untug mo ulo mo sa pader,Whoever you are you are I do not use you to call me early in the morning when you answer when you speak ulol until you head to the wall,1,,,,,
kyla Pang paidstream media ang style ng pag popost LOL Di nya sinabi na 8 piraso lang anakbayad sa Melbourne at sandamakmak ang nag welcome Ulol talaga hahaha,Kyla Paidstream Media The style of popost lol she didn't say that only 8 pieces in Melbourne and the Sandamakmak was welcome crazy really hahaha,kyla Pang paidstream media ang style ng pag popost LOL Di nya sinabi na 8 piraso lang anakbayad sa Melbourne at sandamakmak ang nag welcome Ulol talaga hahaha,Kyla Paidstream Media The style of popost lol she didn't say that only 8 pieces in Melbourne and the Sandamakmak was welcome crazy really hahaha,1,,,,,
Laban lang po,Just fight,Laban lang po,Just fight,0,,,,,
Lagi cuddle lang,Again cuddle lang,Lagi cuddle lang,Again cuddle lang,0,,,,,
Lahat nalang nilandi mong hindot ka,All of you have been flirting with you,Lahat nalang nilandi mong hindot ka,All of you have been flirting with you,1,,,,,
Lahat man ng pwede kainin kinakain nya HAHAHAHAHAHAHAHAHA,Everybody can eat it hahahahahahahahaha,Lahat naman ng pwede kainin kinakain nya HAHAHAHAHAHAHAHAHA,Everything can eat it hahahahahahahahaha,0,,,,,
lahat ng barkada mo may jowa na paano ka,all of you barkada have jowa how are you,lahat ng barkada mo may jowa na paano ka,all of you barkada have jowa how are you,1,,,,,
Lahat ng mamamatay-tao sa demonyo Juan 844 How Should We Treat People Pure Doctrines Of Christ,All the murderers in the demon Juan 844 How should we treat people pure doctrines of Christ,Lahat ng mamamatay-tao sa demonyo Juan 844 How Should We Treat People Pure Doctrines Of Christ,All the murderers in the demon Juan 844 How should we treat people pure doctrines of Christ,1,,,,,
Lakas,Strength,Lakas,Strength,0,,,,,
Lakas maka ulol nung hindi ka nakikipag usap tapos biglang may notif na andaming inunsend na message sa Instagram Sino ka naman diyan,Strongly get mad when you don't talk then suddenly there is a notif to have a message on Instagram who are you there,Lakas maka ulol nung hindi ka nakikipag usap. tapos biglang may notif na andaming inunsend na message sa Instagram. Sino ka naman diyan,You are so stupid when you don't talk. Suddenly there was a notif that had a lot of message on Instagram. Who are you there,1,,,,,
lakas mo mambastos sa parents mo tapos pag may kailangan ka numero uno kapa sa kakapalan ng mukha HAHAHA ulol hindi moko maboboka,You can spend money on your parents and then you need a number one cape in the face of the face hahaha crazy not moko,"lakas mo mambastos sa parents mo. tapos pag may kailangan ka, numero uno kapa sa kakapalan ng mukha. HAHAHA. ulol. hindi moko ma. bobo ka","You can spend money with your parents. Then when you need it, number one cape is in the face of the face. Hahaha. Ulol. not moko ma. Bobo ka",1,,,,,
Laklak lang kami ni kuya Hahaha Sabog for todays video,Kuya and I are just walking down for today's todays video,Laklak lang kami ni kuya Hahaha Sabog for todays video,Kuya and I are just walking down for today's todays video,0,,,,,
Landscapes are being shot on Portrait,Landscapes are being shot on Portrait,Landscapes are being shot on Portrait,Landscapes are being shot on Portrait,0,,,,,
Laptop gone and so is my chances of surviving the semester,Laptop gone and so is my chances of surviving the semester,Laptop gone and so is my chances of surviving the semester,Laptop gone and so is my chances of surviving the semester,1,,,,,
Laro mga deputa HAHAHAHA,Game deputa hahahaha,Laro mga puta HAHAHAHA,Games Puta hahahaha,1,,,,,
legit kupal sa fb ampota hahahaha kaya ka nabubuntis ng maaga,Legit Cupal in FB ampota hahahaha so you got pregnant early,legit kupal sa facebook ampota hahahaha. Kaya ka nabubuntis ng maaga,Legit Kupal on Facebook ampota hahahaha. So you get pregnant early,1,,,,,
Legit yung pagod ko today parang deserve ako ng St Peter hahahaha,Legit i am tired today i feel like i deserve st peter hahahaha,Legit yung pagod ko today parang deserve ako ng St Peter hahahaha,Legit i am tired today i feel like i deserve st peter hahahaha,1,,,,,
Let your LEADERSHIP be your WORSHIP before the Lord,Let your LEADERSHIP be your WORSHIP before the Lord,Let your LEADERSHIP be your WORSHIP before the Lord,Let your LEADERSHIP be your WORSHIP before the Lord,0,,,,,
Lets go home,Lets go home,Lets go home,Lets go home,0,,,,,
Lets start with your corrupt family shall we FORGET THE PAST MY ASS,Lets start with your corrupt family shall we FORGET THE PAST MY ASS,Lets start with your corrupt family shall we FORGET THE PAST MY ASS,Lets start with your corrupt family shall we FORGET THE PAST MY ASS,1,,,,,
